glottocode	family
abin1243	None
abis1238	None
abaz1241	Abkhaz-Adyge [abkh1242]
abkh1244	Abkhaz-Adyge [abkh1242]
adyg1241	Abkhaz-Adyge [abkh1242]
kaba1278	Abkhaz-Adyge [abkh1242]
ubyk1235	Abkhaz-Adyge [abkh1242]
abun1252	None
adai1235	None
awji1241	Afro-Asiatic [afro1255]
ghad1239	Afro-Asiatic [afro1255]
sawk1238	Afro-Asiatic [afro1255]
siwi1239	Afro-Asiatic [afro1255]
chen1266	Afro-Asiatic [afro1255]
taga1278	Afro-Asiatic [afro1255]
tema1243	Afro-Asiatic [afro1255]
tazn1238	Afro-Asiatic [afro1255]
tidi1241	Afro-Asiatic [afro1255]
tumz1238	Afro-Asiatic [afro1255]
tach1249	Afro-Asiatic [afro1255]
tari1263	Afro-Asiatic [afro1255]
sene1271	Afro-Asiatic [afro1255]
tuni1262	Afro-Asiatic [afro1255]
cent2194	Afro-Asiatic [afro1255]
ghom1257	Afro-Asiatic [afro1255]
senh1238	Afro-Asiatic [afro1255]
tach1250	Afro-Asiatic [afro1255]
kaby1243	Afro-Asiatic [afro1255]
nafu1238	Afro-Asiatic [afro1255]
tama1365	Afro-Asiatic [afro1255]
tawa1286	Afro-Asiatic [afro1255]
taya1257	Afro-Asiatic [afro1255]
taha1241	Afro-Asiatic [afro1255]
guan1277	Afro-Asiatic [afro1255]
tets1235	Afro-Asiatic [afro1255]
zena1248	Afro-Asiatic [afro1255]
mbuk1243	Afro-Asiatic [afro1255]
vame1236	Afro-Asiatic [afro1255]
mbar1260	Afro-Asiatic [afro1255]
musg1254	Afro-Asiatic [afro1255]
musk1256	Afro-Asiatic [afro1255]
gida1247	Afro-Asiatic [afro1255]
hyaa1239	Afro-Asiatic [afro1255]
bana1305	Afro-Asiatic [afro1255]
kamw1239	Afro-Asiatic [afro1255]
kiry1234	Afro-Asiatic [afro1255]
psik1239	Afro-Asiatic [afro1255]
budu1265	Afro-Asiatic [afro1255]
jina1244	Afro-Asiatic [afro1255]
maje1243	Afro-Asiatic [afro1255]
lagw1237	Afro-Asiatic [afro1255]
mser1242	Afro-Asiatic [afro1255]
afad1236	Afro-Asiatic [afro1255]
masl1241	Afro-Asiatic [afro1255]
malg1250	Afro-Asiatic [afro1255]
mpad1242	Afro-Asiatic [afro1255]
ngal1301	Afro-Asiatic [afro1255]
hdii1240	Afro-Asiatic [afro1255]
lama1288	Afro-Asiatic [afro1255]
vemg1240	Afro-Asiatic [afro1255]
huba1236	Afro-Asiatic [afro1255]
marg1266	Afro-Asiatic [afro1255]
marg1265	Afro-Asiatic [afro1255]
bura1292	Afro-Asiatic [afro1255]
ciba1236	Afro-Asiatic [afro1255]
nggw1242	Afro-Asiatic [afro1255]
puta1243	Afro-Asiatic [afro1255]
dghw1239	Afro-Asiatic [afro1255]
cine1238	Afro-Asiatic [afro1255]
gudu1252	Afro-Asiatic [afro1255]
gvok1239	Afro-Asiatic [afro1255]
mata1306	Afro-Asiatic [afro1255]
park1239	Afro-Asiatic [afro1255]
glav1244	Afro-Asiatic [afro1255]
malg1251	Afro-Asiatic [afro1255]
wand1278	Afro-Asiatic [afro1255]
dugw1239	Afro-Asiatic [afro1255]
mere1246	Afro-Asiatic [afro1255]
zulg1242	Afro-Asiatic [afro1255]
mofu1248	Afro-Asiatic [afro1255]
nort3046	Afro-Asiatic [afro1255]
mada1293	Afro-Asiatic [afro1255]
molo1266	Afro-Asiatic [afro1255]
muya1243	Afro-Asiatic [afro1255]
wuzl1236	Afro-Asiatic [afro1255]
bald1241	Afro-Asiatic [afro1255]
