	glottocode	path	toplevelfamily	name	hid	level	iso639-3	latitude	longitude	macroareas
0	abin1243	tree/abin1243	abin1243	Abinomn	bsa	language	bsa	-2.92281	138.891	Papunesia
1	abis1238	tree/abis1238	abis1238	Aewa	ash	language	ash	-1.284096	-75.084405	South America
4	abaz1241	tree/abkh1242/abkh1243/abaz1241	abkh1242	Abaza	abq	language	abq	44.25	42.0	Eurasia
8	abkh1244	tree/abkh1242/abkh1243/abkh1244	abkh1242	Abkhaz	abk	language	abk	43.056218	41.159115	Eurasia
13	adyg1241	tree/abkh1242/circ1239/adyg1241	abkh1242	Adyghe	ady	language	ady	44.0	39.33	Eurasia
19	kaba1278	tree/abkh1242/circ1239/kaba1278	abkh1242	Kabardian	kbd	language	kbd	43.5082	43.3918	Eurasia
21	ubyk1235	tree/abkh1242/ubyk1235	abkh1242	Ubykh	uby	language	uby	43.67	39.67	Eurasia
22	abun1252	tree/abun1252	abun1252	Abun	kgr	language	kgr	-0.57073	132.416	Papunesia
26	adai1235	tree/adai1235	adai1235	Adai	xad	language	xad	31.6314	-92.0059	North America
29	awji1241	tree/afro1255/berb1260/awji1241	afro1255	Awjilah	auj	language	auj	29.2341	21.1819	Africa
30	ghad1239	tree/afro1255/berb1260/ghad1239	afro1255	Ghadames	gha	language	gha	30.1168	10.0165	Africa
35	sawk1238	tree/afro1255/berb1260/grea1296/siwi1238/sawk1238	afro1255	Sawknah-Fogaha	swn	language	swn	29.16	15.9742	Africa
36	siwi1239	tree/afro1255/berb1260/grea1296/siwi1238/siwi1239	afro1255	Siwi	siz	language	siz	29.200415	25.519627	Africa
38	chen1266	tree/afro1255/berb1260/grea1296/zena1250/chen1266	afro1255	Western Algerian Berber	cnu	language	cnu	36.5917	2.19899	Africa
41	taga1278	tree/afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/taga1278	afro1255	Ouargli	oua	language	oua	31.9454	5.28444	Africa
45	tema1243	tree/afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/tema1243	afro1255	Oued Righ	tjo	language	tjo	33.3489	6.06562	Africa
